NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
"ai-aos-staging-erm2sr","Foundry","rg-aos-staging","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/rg-aos-staging/providers/Microsoft.CognitiveServices/accounts/ai-aos-staging-erm2sr"
"ai-gw-aos-staging-erm2sr","API Management service","rg-aos-staging","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/rg-aos-staging/providers/Microsoft.ApiManagement/service/ai-gw-aos-staging-erm2sr"
"ai-hub-aos-staging-erm2sr","Azure AI hub","rg-aos-staging","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/rg-aos-staging/providers/Microsoft.MachineLearningServices/workspaces/ai-hub-aos-staging-erm2sr"
"appi-aos-staging","Application Insights","rg-aos-staging","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/rg-aos-staging/providers/Microsoft.Insights/components/appi-aos-staging"
"Application Insights Smart Detection","Action group","BusinessInfinity_group","Global","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/microsoft.insights/actiongroups/Application Insights Smart Detection"
"ASISaga","Azure AI hub","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.MachineLearningServices/workspaces/ASISaga"
"asisaga1650425817","Storage account","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Storage/storageAccounts/asisaga1650425817"
"asisaga4293936390","Foundry","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.CognitiveServices/accounts/asisaga4293936390"
"asisaga4293936390/BusinessInfinity","Foundry project","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.CognitiveServices/accounts/asisaga4293936390/projects/BusinessInfinity"
"asisaga5145373858","Key vault","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.KeyVault/vaults/asisaga5145373858"
"asisagamcp","Application Insights","asisagamcp","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/asisagamcp/providers/Microsoft.Insights/components/asisagamcp"
"asisagamcp","Storage account","asisagamcp","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/asisagamcp/providers/Microsoft.Storage/storageAccounts/asisagamcp"
"ASISagaMCP","Function App","asisagamcp","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/asisagamcp/providers/Microsoft.Web/sites/ASISagaMCP"
"asisagamcp-identities-d53c61","Managed Identity","asisagamcp","East US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/asisagamcp/providers/Microsoft.ManagedIdentity/userAssignedIdentities/asisagamcp-identities-d53c61"
"ASP-BusinessInfinitygroup-a07f","App Service plan","BusinessInfinity_group","Central US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Web/serverFarms/ASP-BusinessInfinitygroup-a07f"
"businessinfini1856988514","Application Insights","businessinfinity-resource-group","West US 3","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/businessinfinity-resource-group/providers/Microsoft.Insights/components/businessinfini1856988514"
"businessinfini3522878089","Log Analytics workspace","BusinessInfinity_group","Central US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.OperationalInsights/workspaces/businessinfini3522878089"
"businessinfini6674626637","Key vault","businessinfinity-resource-group","West US 3","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/businessinfinity-resource-group/providers/Microsoft.KeyVault/vaults/businessinfini6674626637"
"businessinfini7242826855","Storage account","businessinfinity-resource-group","West US 3","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/businessinfinity-resource-group/providers/Microsoft.Storage/storageAccounts/businessinfini7242826855"
"businessinfini8848098998","Key vault","BusinessInfinity_group","Central US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.KeyVault/vaults/businessinfini8848098998"
"businessinfini9010120674","Application Insights","BusinessInfinity_group","Central US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Insights/components/businessinfini9010120674"
"businessinfini9774647702","Storage account","BusinessInfinity_group","Central US","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.Storage/storageAccounts/businessinfini9774647702"
"businessinfinity","Azure AI project","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.MachineLearningServices/workspaces/businessinfinity"
"businessinfinity","Service Bus Namespace","BusinessInfinity_group","East US 2","BusinessInfinity","https://portal.azure.com#resource/subscriptions/ef7ae1ff-a074-4e22-a200-219f777da3e2/resourceGroups/BusinessInfinity_group/providers/Microsoft.ServiceBus/namespaces/businessinfinity"
